modified a workflow state,modificou uma etapa
Addresses And Contacts,Endereços e Contatos
Address and other legal information you may want to put in the footer.,Endereço e outras informações legais que você pode querer colocar no rodapé.
Address Title is mandatory.,Titulo do Endereço é obrigatório.
Address Template,Modelo de Endereço
Additional Permissions,Permissões Adicionais
Adding System Manager to this User as there must be atleast one System Manager,Adicionando este usuário como System Manager pois deve haver pelo menos um System Manager
Added {0},Adicionado {0}
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML adicionado na seção &lt;head&gt; da página web, principalmente utilizadas para a verificação do site e SEO"
Add your own translations,Adicione suas próprias traduções
Add to table,Adicionar à mesa
Add script for Child Table,Adicionar script para tabela filho
Add meta tags to your web pages,Adicione meta tags às suas páginas da web
Add fields to forms.,Adicionar campos nos formulários.
Add custom javascript to forms.,Adicionar javascript personalizado aos formulários.
Add custom forms.,Adicionar formulários personalizados.
Add all roles,Adicionar todas funções
Add a tag ...,Adicione uma tag ...
Add a new section,Adicione uma nova seção
Add a comment,Adicionar um comentário
Add a column,Adicionar uma coluna
Add a New Role,Adicionar uma Nova Função
Add User Permissions,Adicionar permissões do usuário
Add Unsubscribe Link,Adicionar link para cancelar inscrição
Add Total Row,Adicionar Linha de Total
Add Subscribers,Adicionar Inscritos
Add Signature,Adicionar Assinatura
Add Review,Adicione uma avaliação
Add New Permission Rule,Adicionar Nova Regra de Permissão
Add Group,Adicionar grupo
Add Filter,Adicionar Filtro
Add Contacts,Adicionar contatos
Add Contact,Adicionar contato
Add Column,Adicionar Coluna
Add Attachment,Anexar
Add Another Comment,Adicionar Outro Comentário
Add A New Rule,Adicionar uma Nova Regra
Add / Update,Adicionar / Atualizar
Add / Manage Email Domains.,Adicionar / Gerenciar Domínios de E-mail.
Activity log of all users.,Registro de atividade de todos os usuários.
Activity Log,Log de Atividade
Active Sessions,Sessões ativas
Active Domains,Domínios ativos
"Actions for workflow (e.g. Approve, Cancel).","Ações para o fluxo de trabalho (por exemplo, Aprovar , Cancelar) ."
Action Timeout (Seconds),Tempo Limite de Ação (Segundos)
Action Failed,A Ação Falhou
Access Token URL,URL do Token de Acesso
Access Key ID,ID da chave de acesso
Accept Payment,Aceitar Pagamento
About Us Team Member,Sobre Nós - Membros da Equipe
About Us Settings,Configurações do Quem Somos
ASC,ASC
API Username,Usuário da API
API Secret,Segredo da API
API Password,Senha da API
API Key cannot be  regenerated,A chave da API não pode ser regenerada
API Endpoint Args,API Endpoint Args
A word by itself is easy to guess.,Uma palavra por si só é fácil de adivinhar.
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por exemplo: R$
A new account has been created for you at {0},Uma nova conta foi criada para você em {0}
A log of request errors,Um log de erros de solicitação
A list of resources which the Client App will have access to after the user allows it. e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto"
A Lead with this Email Address should exist,Um Lead com este email deve existir
Default Template\nUses Jinja Templating and all the fields of Address (including Custom Fields if any) will be available\n{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n,"<h4>Modelo Padrão</h4>\n<p>Utiliza <a href=""http://jinja.pocoo.org/docs/templates/""> O Modelo Jinja</a> e todos os campos do Endereço (incluindo Campos Personalizados, caso haja) estarão disponíveis</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Telefone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>"
; not allowed in condition,; não permitido na condição
1 year ago,1 ano atrás
1 month ago,1 mês atrás
1 minute ago,1 minuto atrás
1 hour ago,1 hora atrás
1 comment,1 comentário
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1 Moeda = [?] Fração\nPor ex: 1 EUR = 100 Cêntimos
0 is highest,0 é maior
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 - Cancelado
**Currency** Master,**Moeda** Principal
** Failed: {0} to {1}: {2},** Falha: {0} para {1}: {2}
(Ctrl + G),(Ctrl + G)
Recipients' not specified,Destinatários' não especificado
In List View' not allowed for type {0} in row {1},Visualização em Lista' não pode ser utilizado para o tipo {0} na linha {1}
In Global Search' not allowed for type {0} in row {1},&#39;Na Pesquisa Global&#39; não é permitido para o tipo {0} na linha {1}
&lt;head&gt; HTML,&lt;head&gt; HTML
"Team Members or ""Management""",&quot;Membros da Equipe&quot; ou &quot;Gerenciamento&quot;
Parent signifies the parent table in which this row must be added,Pai significa a tabela pai no qual deve ser acrescentado nesta linha
Company History,&quot;Histórico da Empresa&quot;
to your browser,para o seu navegador
{0} is mandatory,{0} é obrigatório
old_parent,old_parent
You need to be logged in to access this page,Você precisa estar logado para acessar esta página
Workflow,Fluxo de Trabalho
Welcome email sent,Email de Boas Vindas enviado
Weekly,Semanalmente
Weekdays,Dias da semana
Week,Semana
Wednesday,Quarta-feira
Website Settings,Configurações do Site
Website Manager,Administrador do Site
Website,Site
Warning,Aviso
Validity,Validade
Users,Usuários
User ID,ID de Usuário
User,Usuário
Unsubscribed,Inscrição Cancelada
URL,URL
Traceback,Traceback
To Date,Até a Data
To,Para
Timespan,Intervalo de tempo
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,A página que você está procurando não existe. Isto pode ser porque ela foi movido ou se houve um erro de digitação no link.
Thank you,Obrigado
Test,Teste
Tax Category,Categoria de imposto
Task,Tarefa
Target,Meta
System Manager,Administrador do Sistema
Sunday,Domingo
Summary,Resumo
Submit,Enviar
Subject,Assunto
Stopped,Parado
State,Estado
Start Import,Iniciar importação
Start Date,Data de Início
Standard,Padrão
Source Name,Nome da Fonte
Source,Fonte
Slideshow,Apresentação de Slides
Short Name,Nome Curto
Shipping,Expedição
Settings,Configurações
Set as Default,Definir como Padrão
Service,Serviço
Series {0} already used in {1},Série {0} já usado em {1}
Sent,Enviado
Send Now,Enviar agora
Select DocType,Selecione DocType
Select,Selecionar
Secret Key,Chave secreta
Search,Pesquisar
Scheduled,Programado
Saved,Salvo
Saturday,Sábado
Sample,Amostra
Salutation,Saudação
Sales User,Usuário de Vendas
Sales Master Manager,Gerente de Cadastros de Vendas
Sales Manager,Gerente de Vendas
Route,Rota
Role,Função
Response,Resposta
Reports,Relatórios
Report Type,Tipo de Relatório
Report Builder,Criador de Relatório
Report,Relatório
Replied,Respondido
Reopen,Reabrir
Rejected,Rejeitado
Region,Região
Refresh Token,Token de Atualização
Reference Type,Tipo de Referência
Reference Owner,Proprietário da Referência
Reference Document Type,Referência Tipo de Documento
Reference Document,Documento de referência
Reference Date,Data de Referência
Reference,Referência
Redirect URL,Redirecionar URL
Recipients,Destinatários
Received,Recebido
Rating,Rating
Range,Faixa
Query Options,Opções de Consulta
Purchase User,Usuário de Compras
Purchase Master Manager,Gerente de Cadastros de Compras
Purchase Manager,Gerente de Compras
Published,Publicado
Public,Público
Property,Propriedade
Private,Privado
Print taxes with zero amount,Imprima impostos com montante zero
Print Settings,Configurações de Impressão
Print Format,Formato de Impressão
Primary,Primário
Preview,Pré-visualização
Portal Settings,Configurações do Portal
Please set Email Address,"Por favor, defina o endereço de Email"
Please select {0},"Por favor, selecione {0}"
Please select Company,"Por favor, selecione a Empresa"
Please enable pop-ups,Por favor habilite os pop-ups
Pincode,Pincode
Period,Período
Password,Senha
Parameter,Parâmetro
Page Missing or Moved,Página ausente ou mudou
Owner,Proprietário
Other,Outro
Options,Opções
Operation,Operação
Online,Online
Number,Número
Not active,Inativo
Not Permitted,Não Permitido
None,Nenhum
No items found.,Nenhum item encontrado.
No contacts added yet.,Ainda não foi adicionado nenhum contato.
No address added yet.,Ainda não foi adicionado nenhum endereço.
No Data,Sem Dados
Next,Próximo
New Contact,Novo Contato
New Address,Novo Endereço
My Account,Minha Conta
Move,Mover
More Information,Mais Informações
More,Mais
Monthly,Mensal
Monday,Segunda-feira
Middle Name (Optional),Nome do meio (opcional)
Middle Name,Nome do Meio
Method,Método
Message Examples,Exemplos de Mensagens
Meeting,Encontro
Medium,Médio
Mapping Type,Tipo de mapeamento
Mapping,Mapeamento
Mandatory,Obrigatório
Male,Masculino
Maintenance User,Usuário da Manutenção
Maintenance Manager,Gerente de Manutenção
Low,Baixo
Logs,Logs
Log,Registo
Limit,Limite
Level,Nível
Letter Head,Cabeçalho de Carta
Leaderboard,Placar
Last Name,Sobrenome
Language Name,Nome do Idioma
Label,Rótulo
Kanban Board,Painel Kanban
Is Default,É Padrão
Is Completed,Está completo
Is Active,É Ativo
Introduction,Introdução
Interests,Juros
Insert,Inserir
Inactive,Inativo
Import Log,Log de Importação
Import Data,Importar dados
Image View,Visualização de Imagem
Image,Imagem
IP Address,Endereço de IP
Hub Sync ID,Identificação da Sincronização do Hub
Hourly,De hora em hora
High,Alto
Half Yearly,Semestrais
Half Day,Meio Período
Guest,Convidado
GitHub Sync ID,GitHub Sync ID
Gender,Sexo
Further nodes can be only created under 'Group' type nodes,Outros nós só podem ser criados dentro dos nós do tipo 'Grupo'
Full Name,Nome Completo
Full,Cheio
From,De
Friday,Sexta-feira
Frequency,Frequência
First Name,Nome
Fields,Campos
Fieldname,Nome do Campo
Field Name,Nome do Campo
Female,Feminino
Feedback,Comentários
Fax,Fax
Failed,Falhou
Fail,Falha
Expand All,Expandir todos
Event,Evento
Error Log,Log de Erro
Error Code: {0},Código do Erro: {0}
